geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,2.93,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,27.1,27,30.5,22.7,29.3,31.2,39,39.8,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,31.1,24.3,27.4,23.8,21.3,21.5,22.4,27.5,24.8,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,,,,,16.7,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,29.3,26,23.7,,18.8,21.2,19.4,18.7,18.3,19.4,18.8,,,22.6
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,40.9,38.9,39.2,35.4,36.1,37,32,36.3,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.5,11.4,13.8,18.3,16.8,15.2,15,14.9,13.4,11.2,13,17.5,19.3,18.5,16.9,15.2,15.7,15.9,14.5,13.1,12.1,13.5,12.8,12,11.4,10.6,10,9.37,8.82,11.5,11.6,11.4,11.7,12.2,13.3,13.1,12.6,12.6
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,6.14,5.1,4.29,3.95,4.99,4.57,4.13,3.8,3.72,4.13,4.66,4.96,5.91,6.85,7.57,7.5,5.93,6.3,6.03,7.16,7.45,12.1,11,9.79,9.43,8.51,10.7,9.47,8.94,9.4,9.67,10.3,10.6,11.2,9.8
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,,,,14,14.4,13.9,14.9,14.7,14.2,13.8,13.5,13.4,13.1,12.9
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,15.7,,,,,24.1,,20.2,,18.9,17.1,26.2,,27.5,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,,,,,,20.1,,,,,,,,,5.03,5.62,5.3,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,2.54,,,,,,,7.02,,,,10.7,,,6.63,,,7.6,,,,6.36,,,9.88,,,11.4,12.8
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,,35.4,36.5,32.5,25.5,30.7,33.5,42.2,,,37.8,,30,,,,,,26.2,,,,,,24.4,26.1,,,29.6,33.8,32.4,29.6,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,
