geo,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,378
Armenia,,,,,,,,,456,,,,500
Australia,495,,,,,,,,499,,,,516
Austria,531,,,,,,,,,,,,505
Canada,514,,,,,,,,509,,,,515
Colombia,,,,,,,,,,,,,355
Czech Republic,541,,,,,,,,,,,,486
Denmark,,,,,,,,,,,,,523
El Salvador,,,,,,,,,,,,,330
Georgia,,,,,,,,,,,,,438
Germany,,,,,,,,,,,,,525
Hungary,521,,,,,,,,529,,,,510
Iran,387,,,,,,,,389,,,,402
Italy,,,,,,,,,503,,,,507
Japan,567,,,,,,,,565,,,,568
Kazakhstan,,,,,,,,,,,,,549
Kuwait,,,,,,,,,,,,,316
Latvia,499,,,,,,,,533,,,,537
Lithuania,,,,,,,,,534,,,,530
Morocco,,,,,,,,,347,,,,341
Netherlands,549,,,,,,,,540,,,,535
New Zealand,469,,,,,,,,496,,,,492
Norway,476,,,,,,,,451,,,,473
Qatar,,,,,,,,,,,,,296
Russia,,,,,,,,,532,,,,544
Singapore,590,,,,,,,,594,,,,599
Slovak Republic,,,,,,,,,,,,,496
Slovenia,462,,,,,,,,479,,,,502
Sweden,,,,,,,,,,,,,503
Tunisia,,,,,,,,,339,,,,327
Ukraine,,,,,,,,,,,,,469
United Arab Emirates,,,,,,,,,,,,,444
United Kingdom,485,,,,,,,,527,,,,537
United States,518,,,,,,,,518,,,,529
Yemen,,,,,,,,,,,,,224
